Feature,Importance
financing_intensity_index_lag30,5580056428544.0
financing_intensity_index_lag7,5563096760320.0
avg_delivery_days_lag7,5325372522496.0
daily_cod_order_ratio_lag30,5285939249152.0
payment_method_cancellation_risk_lag365,5061896830976.0
customer_repurchase_cadence_index_lag30,5033185247232.0
daily_return_risk_index_lag7,3811486990336.0
covid_intensity_lag365,0.0
covid_intensity_lag7,0.0
market_era_lag365,0.0
market_era_roll7,0.0
market_era_lag30,0.0
market_era_lag7,0.0
covid_intensity_roll7,0.0
year,0.0
