candidate,fold,month,revenue_mae,cogs_mae,official_mae
seasonal_xgb_core_business_uplift_135,recovery_2021,2021-12,431440.752721128,447436.67550346156,439438.7141122948
seasonal_xgb_core_business_uplift_135,recovery_2022,2022-01,645594.6519854299,579038.180356748,612316.416171089
seasonal_xgb_core_business_uplift_135,recovery_2022,2022-02,836920.9493445762,689951.9013444588,763436.4253445175
seasonal_xgb_core_business_uplift_135,recovery_2022,2022-03,1078595.4937288638,1148453.4446415703,1113524.469185217
seasonal_xgb_core_business_uplift_135,recovery_2022,2022-04,755973.2537149357,805234.5676923253,780603.9107036305
seasonal_xgb_core_business_uplift_135,recovery_2022,2022-05,1026374.8158073545,840237.459126851,933306.1374671028
seasonal_xgb_core_business_uplift_135,recovery_2022,2022-06,749489.7921642592,708411.8898188724,728950.8409915658
seasonal_xgb_core_business_uplift_135,recovery_2022,2022-07,589148.4338163544,670369.8631455711,629759.1484809627
seasonal_xgb_core_business_uplift_135,recovery_2022,2022-08,1215955.8408351634,1005497.7816448887,1110726.811240026
seasonal_xgb_core_business_uplift_135,recovery_2022,2022-09,831945.9976124003,827267.5109697008,829606.7542910506
seasonal_xgb_core_business_uplift_135,recovery_2022,2022-10,462440.00426701305,372620.63582629303,417530.32004665304
seasonal_xgb_core_business_uplift_135,recovery_2022,2022-11,572070.8952627105,528813.4498798766,550442.1725712935
seasonal_xgb_core_business_uplift_135,recovery_2022,2022-12,442412.96864182694,420024.6831222494,431218.82588203816
seasonal_xgb_core_business_uplift_135,recovery_2022_h2,2022-07,678892.2262200176,636344.3019996608,657618.2641098392
seasonal_xgb_core_business_uplift_135,recovery_2022_h2,2022-08,998892.3740915844,839155.3394655364,919023.8567785604
seasonal_xgb_core_business_uplift_135,recovery_2022_h2,2022-09,778937.1556297265,717608.2228776048,748272.6892536656
seasonal_xgb_core_business_uplift_135,recovery_2022_h2,2022-10,443125.1013565213,372852.7705716775,407988.93596409936
seasonal_xgb_core_business_uplift_135,recovery_2022_h2,2022-11,616535.3336177239,534937.8000419372,575736.5668298305
seasonal_xgb_core_business_uplift_135,recovery_2022_h2,2022-12,582246.7179989102,427060.4100317485,504653.56401532935
seasonal_xgb_full,recovery_2021,2021-01,328045.2641624041,258163.49118293004,293104.3776726671
seasonal_xgb_full,recovery_2021,2021-02,609034.3847771051,483129.67755637236,546082.0311667387
seasonal_xgb_full,recovery_2021,2021-03,719379.2970196754,629563.7722572688,674471.5346384721
seasonal_xgb_full,recovery_2021,2021-04,756867.3076373945,645675.675963628,701271.4918005113
seasonal_xgb_full,recovery_2021,2021-05,969471.1470196923,783839.879644242,876655.5133319672
seasonal_xgb_full,recovery_2021,2021-06,738323.9225085467,670303.0741507219,704313.4983296343
seasonal_xgb_full,recovery_2021,2021-07,708628.8929180612,754767.4865052822,731698.1897116718
seasonal_xgb_full,recovery_2021,2021-08,1536445.2734736374,573639.9547140858,1055042.6140938615
seasonal_xgb_full,recovery_2021,2021-09,562404.7494397291,406995.2704686424,484700.0099541858
seasonal_xgb_full,recovery_2021,2021-10,435436.5030594511,374677.5784650104,405057.04076223075
seasonal_xgb_full,recovery_2021,2021-11,431385.5989191046,412487.8331729774,421936.716046041
seasonal_xgb_full,recovery_2021,2021-12,419075.39719492017,563857.4250094894,491466.4111022048
seasonal_xgb_full,recovery_2022,2022-01,625043.7968120428,554559.6630344978,589801.7299232703
seasonal_xgb_full,recovery_2022,2022-02,910493.1597551603,733011.8228133979,821752.4912842792
seasonal_xgb_full,recovery_2022,2022-03,1227512.7311697975,1252528.4666399744,1240020.5989048858
