candidate,fold,month,revenue_mae,cogs_mae,official_mae
seasonal_xgb_market_uplift_160_cogs098,recovery_2022_h2,2022-11,675148.2467913276,491936.1030569096,583542.1749241186
seasonal_xgb_market_uplift_160_cogs098,recovery_2022_h2,2022-12,656818.9857247224,397841.39549191634,527330.1906083194
seasonal_xgb_market_uplift_160_cogs102,recovery_2021,2021-01,291339.93940836156,236224.12843384687,263782.0339211042
seasonal_xgb_market_uplift_160_cogs102,recovery_2021,2021-02,574523.3889394295,460271.3468033304,517397.36787137995
seasonal_xgb_market_uplift_160_cogs102,recovery_2021,2021-03,648547.9972600144,545517.258572269,597032.6279161416
seasonal_xgb_market_uplift_160_cogs102,recovery_2021,2021-04,778456.6823188489,625189.4166520316,701823.0494854402
seasonal_xgb_market_uplift_160_cogs102,recovery_2021,2021-05,904598.4213146414,768241.7276442267,836420.074479434
seasonal_xgb_market_uplift_160_cogs102,recovery_2021,2021-06,595188.4999137439,625430.5834420759,610309.5416779099
seasonal_xgb_market_uplift_160_cogs102,recovery_2021,2021-07,642349.0008636821,776643.163412297,709496.0821379896
seasonal_xgb_market_uplift_160_cogs102,recovery_2021,2021-08,1723167.1064877503,595994.9033423772,1159581.0049150637
seasonal_xgb_market_uplift_160_cogs102,recovery_2021,2021-09,598224.8928903347,387847.449255002,493036.1710726684
seasonal_xgb_market_uplift_160_cogs102,recovery_2021,2021-10,489364.6757031004,392010.6232339895,440687.649468545
seasonal_xgb_market_uplift_160_cogs102,recovery_2021,2021-11,451789.22254636645,375459.4118544861,413624.31720042625
seasonal_xgb_market_uplift_160_cogs102,recovery_2021,2021-12,406656.30164853146,474209.34885418945,440432.8252513604
seasonal_xgb_market_uplift_160_cogs102,recovery_2022,2022-01,617898.0802797849,580138.5875112312,599018.333895508
seasonal_xgb_market_uplift_160_cogs102,recovery_2022,2022-02,792027.0312280763,663153.3955271959,727590.2133776362
seasonal_xgb_market_uplift_160_cogs102,recovery_2022,2022-03,939219.1343693548,1123916.154619828,1031567.6444945915
seasonal_xgb_market_uplift_160_cogs102,recovery_2022,2022-04,780729.5130968112,853357.3781096619,817043.4456032366
seasonal_xgb_market_uplift_160_cogs102,recovery_2022,2022-05,990773.6573683519,806460.7824661881,898617.21991727
seasonal_xgb_market_uplift_160_cogs102,recovery_2022,2022-06,661777.0556906234,710870.5655799437,686323.8106352836
seasonal_xgb_market_uplift_160_cogs102,recovery_2022,2022-07,598546.2207163731,771969.1020214987,685257.6613689358
seasonal_xgb_market_uplift_160_cogs102,recovery_2022,2022-08,801111.5459321443,712642.2002342754,756876.8730832099
seasonal_xgb_market_uplift_160_cogs102,recovery_2022,2022-09,842602.3665803499,886054.7537309525,864328.5601556512
seasonal_xgb_market_uplift_160_cogs102,recovery_2022,2022-10,585262.011144456,538488.9322620112,561875.4717032337
seasonal_xgb_market_uplift_160_cogs102,recovery_2022,2022-11,530025.5886114058,538114.8266643282,534070.207637867
seasonal_xgb_market_uplift_160_cogs102,recovery_2022,2022-12,608110.2055915236,529199.5334272672,568654.8695093954
seasonal_xgb_market_uplift_160_cogs102,recovery_2022_h2,2022-07,765097.146868893,613764.4801864169,689430.8135276549
seasonal_xgb_market_uplift_160_cogs102,recovery_2022_h2,2022-08,743745.0938965539,647096.2991040532,695420.6965003035
seasonal_xgb_market_uplift_160_cogs102,recovery_2022_h2,2022-09,745491.349346086,665804.6595648666,705648.0044554763
seasonal_xgb_market_uplift_160_cogs102,recovery_2022_h2,2022-10,514349.4287685028,403071.06495850603,458710.2468635044
seasonal_xgb_market_uplift_160_cogs102,recovery_2022_h2,2022-11,675148.2467913276,515334.2583949042,595241.2525931159
seasonal_xgb_market_uplift_160_cogs102,recovery_2022_h2,2022-12,656818.9857247224,414355.17195455654,535587.0788396394
